ownership,papan_pencatatan,ipo_raised_fund,float,price_cat,underwriter_freq_cat,underwriter_avg_aset_cat,underwriter_highest_short_rep,underwriter_highest_mid_rep,underwriter_highest_long_rep,underwriter_has_bigbank,total_aset_cat,equity,leverage_ratio,revenue,turnover_ratio,per,pbv,1d,1w,1m,6m,1y
3,0,175000000000.0,0.2,0,2,2,2,1,1,0,1,400000000000.0,0.4325,203000000000.0,0.3542757417102967,34.44761001572491,2.1875,0,1,1,2,2
3,1,100040100000.0,0.1041,0,2,0,1,0,0,0,1,106279483112.0,0.45841883552121804,19098065425.0,0.12321332532258064,-500.43988118769846,9.042196780231551,1,0,0,0,0
3,1,78832846000.0,0.2494,0,2,2,1,0,0,0,1,107000000000.0,1.1495327102803738,179000000000.0,0.7782608695652173,10.934438988509969,2.9541121495327105,0,0,0,0,0
1,1,875000000000.0,0.2,0,2,2,2,2,2,0,1,272000000000.0,2.786764705882353,1070000000000.0,1.0388349514563107,64.11101830277985,10.0,2,1,1,2,2
3,2,107997669000.0,0.2095,0,2,1,1,0,0,1,1,118424000000.0,0.4017428899547389,18347000000.0,0.11052409638554217,6.618900911440567,4.353019658177397,0,1,1,0,0
1,0,10726972907808.959,0.088,2,2,2,2,2,2,1,2,56000000000000.0,0.8035714285714286,44100000000000.0,0.43663366336633663,7.128504058884211,2.1767396322664285,2,0,1,2,2
3,2,37080000000.0,0.2,0,2,1,1,1,1,0,0,30934831233.0,0.6230431521294215,326000000000.0,6.492915970403628,81.87101789017751,5.993244269011008,1,0,0,0,0
3,4,117857157000.0,0.3,0,2,1,1,0,2,0,0,59278024981.0,0.2848478731606208,128000000000.0,1.680600677392977,31.07438697314078,6.6273663828361355,0,1,0,0,0
3,1,75011250000.0,0.2075,0,2,1,1,1,1,0,1,114437772652.0,0.4855234950872574,363000000000.0,2.135294117647059,11.966301152548754,3.1589220204355506,2,0,0,0,0
3,2,40000000000.0,0.25,0,1,0,2,2,0,0,0,10115129675.0,0.6515748675263523,11041189690.0,0.6609158253406279,100.0,10.0,0,1,1,0,0
